frame,time_s,x_red,y_red,x_green,y_green
0,0.0,751,40,742.0,326.0
1,0.01668234064785789,752,41,744.0,325.0
2,0.03336468129571578,752,41,744.0,325.0
3,0.05004702194357367,752,41,744.0,325.0
4,0.06672936259143156,752,41,744.0,325.0
5,0.08341170323928945,752,40,745.0,324.0
6,0.10009404388714734,752,41,745.0,324.0
7,0.11677638453500523,752,41,744.0,324.0
8,0.1334587251828631,751,41,745.0,324.0
9,0.150141065830721,752,41,745.0,325.0
10,0.1668234064785789,752,41,744.0,324.0
11,0.18350574712643677,752,41,745.0,325.0
12,0.20018808777429467,752,41,745.0,324.0
13,0.21687042842215257,752,41,744.0,325.0
14,0.23355276907001046,752,41,744.0,325.0
15,0.25023510971786833,752,41,744.0,325.0
16,0.2669174503657262,752,41,745.0,325.0
17,0.2835997910135841,752,41,745.0,324.0
18,0.300282131661442,752,41,745.0,324.0
19,0.3169644723092999,752,41,744.0,324.0
20,0.3336468129571578,752,41,744.0,324.0
21,0.35032915360501565,752,40,744.0,324.0
22,0.36701149425287355,753,40,744.0,323.0
23,0.38369383490073145,753,40,744.0,323.0
24,0.40037617554858934,753,40,745.0,323.0
25,0.41705851619644724,754,39,745.0,323.0
26,0.43374085684430513,753,39,745.0,322.0
27,0.45042319749216303,754,39,745.0,322.0
28,0.4671055381400209,752,41,745.0,324.0
29,0.48378787878787877,747,45,750.0,329.0
30,0.5004702194357367,739,53,753.0,336.0
31,0.5171525600835946,728,65,756.0,347.0
32,0.5338349007314525,715,82,760.0,361.0
33,0.5505172413793104,701,103,764.0,378.0
34,0.5671995820271682,685,129,768.0,397.0
35,0.5838819226750261,668,162,772.0,422.0
36,0.600564263322884,653,197,775.0,450.0
37,0.6172466039707419,642,242,778.0,483.0
38,0.6339289446185998,635,293,780.0,529.0
39,0.6506112852664577,637,347,783.0,578.0
40,0.6672936259143156,647,403,783.0,634.0
41,0.6839759665621735,669,464,782.0,701.0
42,0.7006583072100313,705,520,775.0,773.0
43,0.7173406478578892,757,575,758.0,833.0
44,0.7340229885057471,829,622,736.0,861.0
45,0.750705329153605,903,653,737.0,839.0
46,0.7673876698014629,979,660,771.0,797.0
47,0.7840700104493208,1052,655,831.0,747.0
48,0.8007523510971787,1127,634,897.0,711.0
49,0.8174346917450366,1196,597,957.0,689.0
50,0.8341170323928945,1254,547,1026.0,676.0
51,0.8507993730407524,1290,498,1097.0,674.0
52,0.8674817136886103,1319,443,1172.0,664.0
53,0.8841640543364682,1337,396,1289.0,649.0
54,0.9008463949843261,1345,363,1409.0,604.0
55,0.917528735632184,1348,339,1482.0,546.0
56,0.9342110762800419,1348,331,,
57,0.9508934169278997,1348,334,,
58,0.9675757575757575,1347,342,,
59,0.9842580982236154,1346,349,,
60,1.0009404388714733,1346,352,,
61,1.0176227795193313,1347,351,,
62,1.0343051201671891,1347,346,,
63,1.0509874608150471,1348,337,,
64,1.067669801462905,1349,328,,
65,1.084352142110763,1349,324,1094.0,434.0
66,1.1010344827586207,1348,331,1168.0,535.0
67,1.1177168234064785,1346,350,1232.0,589.0
68,1.1343991640543365,1339,387,,
69,1.1510815047021943,1323,429,1448.0,654.0
70,1.1677638453500523,1296,493,1505.0,625.0
71,1.18444618599791,1254,551,1509.0,552.0
72,1.201128526645768,1208,592,1436.0,481.0
73,1.2178108672936259,1163,622,1366.0,448.0
74,1.2344932079414839,1110,644,,
75,1.2511755485893417,1056,660,,
76,1.2678578892371997,1000,667,1045.0,407.0
77,1.2845402298850574,944,663,934.0,405.0
78,1.3012225705329155,892,650,,
79,1.3179049111807732,840,630,,
80,1.3345872518286312,793,604,,
81,1.351269592476489,751,571,500.0,472.0
82,1.367951933124347,709,527,446.0,533.0
83,1.3846342737722048,675,472,449.0,604.0
84,1.4013166144200626,651,422,521.0,643.0
85,1.4179989550679206,641,378,598.0,636.0
86,1.4346812957157784,637,345,709.0,601.0
87,1.4513636363636364,635,329,783.0,555.0
88,1.4680459770114942,636,323,856.0,483.0
89,1.4847283176593522,636,330,,
90,1.50141065830721,637,344,,
91,1.518092998955068,639,362,,
92,1.5347753396029258,643,381,,
93,1.5514576802507838,645,397,,
94,1.5681400208986416,649,409,,
95,1.5848223615464996,652,420,,
96,1.6015047021943574,655,427,406.0,308.0
97,1.6181870428422154,656,430,,
98,1.6348693834900732,658,434,,
99,1.651551724137931,660,444,,
100,1.668234064785789,669,464,,
101,1.6849164054336467,688,496,,
102,1.7015987460815047,714,533,836.0,772.0
103,1.7182810867293625,753,572,912.0,777.0
104,1.7349634273772205,807,612,988.0,776.0
105,1.7516457680250783,862,641,1063.0,790.0
106,1.7683281086729363,927,659,1128.0,812.0
107,1.7850104493207941,997,666,1185.0,838.0
108,1.8016927899686521,1070,658,1221.0,857.0
109,1.81837513061651,1140,626,1234.0,855.0
110,1.835057471264368,1210,584,1241.0,829.0
